dataset_id,badge_id,energy,consistency,x,y,z,timestamp
5,3,0.0355366,0.871148,0.680859,-0.485547,-0.562891,152933
5,3,0.0643394,0.891311,0.673437,-0.490625,-0.651563,152934
5,3,0.111064,0.817648,0.510156,-0.177344,-0.928906,152935
5,3,0.0896674,0.656546,0.484375,-0.223828,-0.924219,152936
5,3,0.154462,0.758435,0.544531,-0.388281,-0.900781,152937
5,3,0.174827,0.709066,0.527344,-0.517969,-0.878516,152938
5,3,0.123712,0.746212,0.48125,-0.259375,-0.942187,152939
5,3,0.108336,0.81195,0.525,-0.0777344,-0.956641,152940
5,3,0.0118196,0.816609,0.639063,-0.329688,-0.669141,152941
5,3,0.293169,0.819427,0.905859,-0.225391,-0.877734,152942
5,3,0.0426176,0.87974,0.805469,-0.321484,-0.551953,152943
5,3,0.212092,0.824538,0.708203,-0.177734,-0.955078,152944
5,3,-0.0224372,0.945876,0.670313,-0.241406,-0.657422,152945
5,3,0.258539,0.805987,0.755859,-0.257031,-0.959766,152946
5,3,0.00898528,0.827134,0.681641,-0.3625,-0.617578,152947
5,3,0.156312,0.806915,0.60625,-0.458594,-0.859766,152948
5,3,0.00890708,0.927643,0.569531,-0.397656,-0.71875,152949
5,3,0.132968,0.779019,0.723437,-0.0804688,-0.8375,152950
5,3,0.0562069,0.840895,0.817969,0.240625,-0.596875,152951
5,3,0.0226505,0.998093,0.0484375,0.00546875,-1.02148,152952
5,3,0.0192301,0.997422,0.0503906,0.00507812,-1.01797,152953
5,3,0.0219215,0.99651,0.0496094,0.0046875,-1.0207,152954
5,3,0.019522,0.996441,0.0484375,0.00429688,-1.01836,152955
5,3,0.0212758,0.997341,0.0523437,0.00429688,-1.01992,152956
